image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1,method_annotation_missing
set_15_25_obj0,0.033127649918048015,0.04232108717480817,0.009193437256760154,0.009193437256760154,0.76526092817254,0.8670230173448238,0.7728510307273434,0.9873291925465838,0.8670230173448238,0
set_16_86_obj0,0.10653473573724608,0.10606415779230718,0.0004705779449388908,-0.0004705779449388908,0.9574223059763395,0.9782480796843565,0.9804181905896809,0.9760875544444307,0.9782480796843565,0
set_16_79_obj1,0.11154265619087894,0.1069242582741659,0.004618397916713035,-0.004618397916713035,0.9219698453103583,0.9594009474810249,0.980120732722731,0.9395390601616282,0.9594009474810249,0
set_16_75_obj2,0.006139502039962339,0.005897583429228999,0.0002419186107333396,-0.0002419186107333396,0.9585106382978723,0.9788158609451385,0.9988913525498891,0.9595314164004259,0.9788158609451385,0
set_16_75_obj1,0.02033448192612427,0.023718075338908032,0.0033835934127837627,0.0033835934127837627,0.8241441987276583,0.9035954496387943,0.8391425046267736,0.978773160640403,0.9035954496387943,0
set_16_75_obj0,0.007683168316831683,0.009763696369636964,0.002080528052805281,0.002080528052805281,0.749073583906829,0.8565375302663438,0.7652785289345592,0.9725085910652921,0.8565375302663438,0
set_16_71_obj3,0.07664325731870907,0.050201215181882745,0.02644204213682632,-0.02644204213682632,0.6293330630448003,0.7725038880248833,0.9759509588179818,0.6392463708431998,0.7725038880248833,0
set_16_67_obj0,0.07679541782934352,0.07582611249816419,0.0009693053311793237,-0.0009693053311793237,0.8977355734112491,0.9461123941493457,0.9521595971334496,0.9401415184547715,0.9461123941493457,0
set_16_64_obj3,0.13998237918494358,0.12851479023731863,0.011467588947624952,-0.011467588947624952,0.7448227555122426,0.853751767231599,0.8918426138642745,0.8187813860060261,0.853751767231599,0
set_16_64_obj2,0.04314146729254997,0.04177865687462144,0.001362810417928531,-0.001362810417928531,0.9409474367293965,0.9695753928452022,0.9853890587835542,0.9542612701546561,0.9695753928452022,0
set_16_64_obj1,0.19684442165534333,0.1613041063111567,0.03554031534418664,-0.03554031534418664,0.7503001827199165,0.8573388612163331,0.9517880794701987,0.7799424757149834,0.8573388612163331,0
set_16_64_obj0,0.14289368307784578,0.14446365256046145,0.001569969482615674,0.001569969482615674,0.9051517455119583,0.9502148557397176,0.9450515904511875,0.9554348497006357,0.9502148557397176,0
set_16_63_obj3,0.04429412641621944,0.05661150864639237,0.012317382230172931,0.012317382230172931,0.6410748560460653,0.7812865497076024,0.6962914197937239,0.889917262656009,0.7812865497076024,0
set_16_62_obj0,0.10384044012595335,0.09812562639049806,0.005714813735455293,-0.005714813735455293,0.9222026789338384,0.9595269937354826,0.9874683085838464,0.9331234170716681,0.9595269937354826,0
set_16_60_obj3,0.10240038170349217,0.10551575579396431,0.0031153740904721478,0.0031153740904721478,0.8899164487531093,0.9417521598272138,0.9278494480649022,0.9560778402083048,0.9417521598272138,0
set_16_55_obj0,0.08537564338669311,0.07623837181848231,0.0091372715682108,-0.0091372715682108,0.7351077313054499,0.8473338203067933,0.8981108702384639,0.8019911504424779,0.8473338203067933,0
set_16_44_obj5,0.020242668129992075,0.019772313534888987,0.00047035459510308755,-0.00047035459510308755,0.9125728559533722,0.9542882020026121,0.9656387665198238,0.9432013769363167,0.9542882020026121,0
set_16_44_obj4,0.0337075856578991,0.036941523765299016,0.003233938107399914,0.003233938107399914,0.897127588510354,0.9457746478873239,0.9043771043771044,0.9911439114391144,0.9457746478873239,0
set_16_40_obj0,0.17514392265013268,0.1642168847510448,0.010927037899087888,-0.010927037899087888,0.9248213443777792,0.9609425280731583,0.9929132217049955,0.930966451072542,0.9609425280731583,0
set_16_39_obj3,0.008417152278595855,0.017220322423058133,0.008803170144462278,0.008803170144462278,0.4621268656716418,0.6321296414444303,0.47055471124620063,0.9626894675476098,0.6321296414444303,0
set_16_38_obj0,0.04173926256077796,0.035821008914100484,0.005918253646677474,-0.005918253646677474,0.8420593630649866,0.9142586606588957,0.9897843761046307,0.8494418153136756,0.9142586606588957,0
set_16_29_obj0,0.14083984144874762,0.1401151119440313,0.0007247295047163038,-0.0007247295047163038,0.9496692828354899,0.9741849976262067,0.9767044282609041,0.9716785314034063,0.9741849976262067,0
set_16_28_obj0,0.19227933758082746,0.17526913911092765,0.017010198469899818,-0.017010198469899818,0.894318282230273,0.9442112137326243,0.9900299477795,0.9024458832889791,0.9442112137326243,0
set_16_19_obj1,0.17388937324421194,0.17336336336336336,0.0005260098808485825,-0.0005260098808485825,0.7078979841725864,0.8289698690821242,0.8302274771880221,0.8277160652011631,0.8289698690821242,0
set_16_16_obj0,0.040766521342890216,0.04460011330328333,0.0038335919603931165,0.0038335919603931165,0.7026272868399851,0.825344797737896,0.7898736414244057,0.8641515817966503,0.825344797737896,0
set_16_15_obj2,0.13476563557143242,0.12084111390760738,0.013924521663825046,-0.013924521663825046,0.814072861196875,0.8975084503053227,0.9492184000716654,0.8511413782889617,0.8975084503053227,0
set_16_15_obj1,0.03652294088397826,0.03556328013489112,0.0009596607490871406,-0.0009596607490871406,0.8876313662085691,0.9404710920770878,0.9531602083410291,0.9281153894574034,0.9404710920770878,0
set_16_14_obj9,0.13757476481019507,0.1312028493282438,0.0063719154819512624,-0.0063719154819512624,0.9484162649453931,0.9735253005311714,0.9971651108183953,0.9509803921568627,0.9735253005311714,0
set_16_14_obj2,0.19699353091233116,0.14413873635653005,0.05285479455580111,-0.05285479455580111,0.7079194207156018,0.8289845669873469,0.9809763565839571,0.7177732780299814,0.8289845669873469,0
set_16_14_obj0,0.2068028891198065,0.1422474149532392,0.06455547416656729,-0.06455547416656729,0.6523969081517861,0.7896370477738247,0.9688156783847384,0.6663907182484277,0.7896370477738247,0
set_16_13_obj1,0.10066641867861732,0.054830944972239115,0.04583547370637821,-0.04583547370637821,0.4926601171358398,0.6601102440938403,0.9360170860404178,0.5098294149274158,0.6601102440938403,0
set_16_10_obj0,0.06732554876030002,0.050780810153557086,0.01654473860674293,-0.01654473860674293,0.7082988963974913,0.8292446923558541,0.9643315158485227,0.7273544224012581,0.8292446923558541,0
set_16_7_obj2,0.024592128826656515,0.022305418070890384,0.002286710755766131,-0.002286710755766131,0.8951697152734249,0.9446855424705588,0.9931092614055421,0.9007645259938838,0.9446855424705588,0
set_16_6_obj3,0.054457386691269746,0.055026332987352475,0.0005689462960827285,0.0005689462960827285,0.8142900825603914,0.8976404494382022,0.8929998602766522,0.9023295213892418,0.8976404494382022,0
set_16_2_obj1,0.07593430017132156,0.05089652667743429,0.025037773493887278,-0.025037773493887278,0.6470535558816944,0.7857104021554614,0.9789695532723646,0.6561744807301311,0.7857104021554614,0
set_15_77_obj0,0.0871460662749229,0.08774709863639084,0.0006010323614679403,0.0006010323614679403,0.8334172788352799,0.9091408578463134,0.9060272330929603,0.9122759567673279,0.9091408578463134,0
set_15_76_obj0,0.031488850036507844,0.03477288103802844,0.003284031001520596,0.003284031001520596,0.8513475575519371,0.9197058154522708,0.8762762473511847,0.9676647343509015,0.9197058154522708,0
set_15_38_obj2,0.16257560279547922,0.16228697442882392,0.00028862836665530245,-0.00028862836665530245,0.8893080100337603,0.9414113583500544,0.9422485112505495,0.940575691687778,0.9414113583500544,0
set_15_31_obj1,0.27206793206793206,0.21219937956780063,0.05986855250013143,-0.05986855250013143,0.7047424084816223,0.826802225339512,0.9434365259104718,0.7358333043448012,0.826802225339512,0
set_15_25_obj2,0.03436312813300576,0.0451357076581019,0.010772579525096145,0.010772579525096145,0.7247578654174843,0.840416941936431,0.7401254121145517,0.9721491041861255,0.840416941936431,0
set_15_25_obj1,0.06553088962432493,0.06943385399061403,0.003902964366289091,0.003902964366289091,0.825712462781795,0.9045372473644359,0.879114658515185,0.931473984105563,0.9045372473644359,0
set_15_24_obj3,0.06404581802463799,0.06771125999567755,0.0036654419710395597,0.0036654419710395597,0.9098997493734335,0.9528246178072305,0.9270347909352059,0.9800904366605926,0.9528246178072305,0
set_15_24_obj0,0.09825096628339451,0.11252339742810609,0.014272431144711578,0.014272431144711578,0.806686027582794,0.8930007929070857,0.8363668277929303,0.9578616935733284,0.8930007929070857,0
set_15_22_obj3,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1
set_15_22_obj2,0.007295215112183654,0.007764082120612149,0.0004688670084284953,0.0004688670084284953,0.9090140845070422,0.9523387929762431,0.9235832856325129,0.9829424307036247,0.9523387929762431,0
set_15_22_obj1,0.044940397517717105,0.046292310209835985,0.0013519126921188798,0.0013519126921188798,0.9190319847489938,0.9578078865310853,0.9438220578638242,0.9722144417679682,0.9578078865310853,0
set_15_21_obj1,0.006718030630461336,0.01687729023771493,0.010159259607253595,0.010159259607253595,0.35560053981106615,0.5246391239422599,0.36673625608907445,0.9213286713286714,0.5246391239422599,0
set_15_21_obj0,0.07163449218416332,0.07261681045528316,0.0009823182711198447,0.0009823182711198447,0.9255437416265215,0.9613323464100666,0.9548301720335245,0.9679236846027724,0.9613323464100666,0
set_15_20_obj3,0.10365499427999428,0.10220488345488346,0.0014501108251108175,-0.0014501108251108175,0.7687272029180265,0.8692433764232143,0.8754099077434305,0.8631631135349529,0.8692433764232143,0
set_15_20_obj2,0.1775563122426591,0.1794241262875949,0.0018678140449358005,0.0018678140449358005,0.8740118022781838,0.9327708621852563,0.9279157667386609,0.9376770310932798,0.9327708621852563,0
set_15_17_obj2,0.0515304810083169,0.09122867186830147,0.03969819085998457,0.03969819085998457,0.5352107264973683,0.6972472472472473,0.5455435463659147,0.9658208541320022,0.6972472472472473,0
set_15_17_obj1,0.07484221036509607,0.09070475605293238,0.015862545687836307,0.015862545687836307,0.6639949138302945,0.7980732492767862,0.728289293452544,0.8826476713651867,0.7980732492767862,0
set_15_17_obj0,0.0862165342747867,0.10820094145336864,0.02198440717858194,0.02198440717858194,0.7198347376297212,0.8370975674346461,0.7520562844130243,0.9438235795939259,0.8370975674346461,0
set_15_13_obj4,0.010152325392967104,0.009358288770053475,0.0007940366229136284,-0.0007940366229136284,0.8968097676250493,0.9455980066445183,0.9857142857142858,0.9086193136472466,0.9455980066445183,0
set_15_13_obj2,0.04096614836410755,0.0668245869776482,0.025858438613540653,0.025858438613540653,0.4044528859343674,0.5759579263711495,0.4645216021329455,0.7577345062765642,0.5759579263711495,0
set_15_13_obj1,0.08272779457885304,0.09042828741039427,0.007700492831541228,0.007700492831541228,0.8750710684910737,0.9333737618758844,0.8936326688600735,0.9768140469642479,0.9333737618758844,0
set_15_12_obj1,0.06884573909196483,0.07094024774650223,0.0020945086545374053,0.0020945086545374053,0.9025308119296265,0.9487686677875581,0.9347624847746651,0.9632009639038104,0.9487686677875581,0
set_15_12_obj0,0.042722963864851936,0.04373668304561464,0.0010137191807627066,0.0010137191807627066,0.9256098299134435,0.9613679942162009,0.9502268066861368,0.9727735368956743,0.9613679942162009,0
set_15_11_obj3,0.021390174197060425,0.023203592814371257,0.0018134186173108316,0.0018134186173108316,0.8657651245551602,0.9280537117570764,0.8917888563049854,0.9673930332432003,0.9280537117570764,0
set_15_11_obj2,0.05320086393088553,0.05295464362850972,0.0002462203023758103,-0.0002462203023758103,0.7193731197089485,0.8367853509664293,0.8387307284444082,0.8348489769405651,0.8367853509664293,0
set_15_9_obj2,0.02679517753047165,0.033471496706790824,0.0066763191763191745,0.0066763191763191745,0.7261146496815286,0.8413284132841329,0.7574215436810857,0.946141621048914,0.8413284132841329,0
set_15_9_obj1,0.021447025069131605,0.03857413634180223,0.017127111272670623,0.017127111272670623,0.5208059210526316,0.6849078029524684,0.5328565418594867,0.9583837772397095,0.6849078029524684,0
set_15_9_obj0,0.03149807645334636,0.03231100390815828,0.0008129274548119222,0.0008129274548119222,0.944974406700791,0.9717088342604223,0.9594849988188047,0.9842481521870835,0.9717088342604223,0
set_15_6_obj3,0.03958082059846165,0.03939526479255303,0.00018555580590862153,-0.00018555580590862153,0.9675306807550492,0.9834974267173865,0.9858136144443198,0.9811920973322915,0.9834974267173865,0
set_15_6_obj2,0.02526910593784295,0.039094496462511966,0.013825390524669016,0.013825390524669016,0.5515591579421366,0.7109740613096318,0.5852595114376157,0.905470338199963,0.7109740613096318,0
set_15_6_obj1,0.010852494962664454,0.015893534431670023,0.005041039469005569,0.005041039469005569,0.6329715061058344,0.775238886580806,0.6522955022139362,0.9552901023890785,0.775238886580806,0
set_15_6_obj0,0.032633148913478204,0.036657612318357555,0.004024463404879351,0.004024463404879351,0.8394160583941606,0.9126984126984127,0.8625980225025571,0.9689774032937571,0.9126984126984127,0
set_12_78_obj1,0.04686061570024802,0.05156725528027095,0.004706639580022931,0.004706639580022931,0.8172365526894622,0.8994278169014085,0.8583815896066489,0.9445966916498828,0.8994278169014085,0
set_12_78_obj0,0.008716933399329043,0.008229603964631188,0.0004873294346978557,-0.0004873294346978557,0.9440939362075009,0.9712431262958623,1.0,0.9440939362075009,0.9712431262958623,0
set_12_77_obj3,0.022271887355348866,0.0245494007494503,0.002277513394101434,0.002277513394101434,0.8745156790825025,0.9330577373570346,0.8897766097240473,0.9807647740440324,0.9330577373570346,0
set_12_74_obj2,0.007237850849116733,0.006948889850556008,0.000288960998560725,-0.000288960998560725,0.6904448105436574,0.8168794464477146,0.8338639076800637,0.8005730659025788,0.8168794464477146,0
set_12_74_obj1,0.011842662608641084,0.011328872642841454,0.0005137899657996301,-0.0005137899657996301,0.9501567915497607,0.9744414353419093,0.9965379954993941,0.9533035270740189,0.9744414353419093,0
set_12_74_obj0,0.04803123904396919,0.04630446784417552,0.0017267711997936697,-0.0017267711997936697,0.9389961070156547,0.9685384138917961,0.9865976241242765,0.9511284503733535,0.9685384138917961,0
set_12_68_obj1,0.0017230805395118114,0.0017291079309923948,6.027391480583439e-06,6.027391480583439e-06,0.9801210025929127,0.9899607158446093,0.9882352941176471,0.9916921731526016,0.9899607158446093,0
set_12_66_obj2,0.0,0.0013137288002446946,0.0013137288002446946,0.0013137288002446946,0.0,0.0,0.0,0.0,0.0,0
set_12_66_obj1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1
set_12_57_obj3,0.03294685248461115,0.031196810893129086,0.001750041591482062,-0.001750041591482062,0.9455604075691412,0.9720185545413736,0.9992821249102656,0.9462031462419888,0.9720185545413736,0
set_12_57_obj2,0.04820273099248264,0.049192953658768676,0.0009902226662860392,0.0009902226662860392,0.8961963758466972,0.9452569230299515,0.9357432146527233,0.9549660703269587,0.9452569230299515,0
