image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1
set_12_10_obj2.png,0.023560385692738633,0.043137254901960784,0.01957686920922215,0.01957686920922215,0.5356733124554277,0.6976396712904073,0.5393356643356644,0.9874821377536439,0.6976396712904073
set_12_22_obj2.png,0.010193057447508102,0.01051664657282582,0.00032358912531771887,0.00032358912531771887,0.7938517179023508,0.8850806451612904,0.8714640198511167,0.8991295442908346,0.8850806451612904
set_12_25_obj0.png,0.0399886401114002,0.04971070964694769,0.009722069535547488,0.009722069535547488,0.7624552491049821,0.865219414214546,0.7806126627897453,0.9703958253786432,0.865219414214546
set_12_30_obj3.png,0.033856998099126484,0.029308215175923254,0.00454878292320323,-0.00454878292320323,0.8367566404989784,0.9111241217798595,0.9818296529968454,0.8499180775532496,0.9111241217798595
set_12_31_obj0.png,0.03548845491814244,0.0338578440261968,0.00163061089194564,-0.00163061089194564,0.6360862703840084,0.7775705742395987,0.7962946702958995,0.7597068062827225,0.7775705742395987
set_12_31_obj1.png,0.033443438757109166,0.05313236926064641,0.019688930503537247,0.019688930503537247,0.5185523114355232,0.6829561385940316,0.5564167414538631,0.8839922229423202,0.6829561385940316
set_12_37_obj3.png,0.03446642567386933,0.03500691595085607,0.0005404902769867367,0.0005404902769867367,0.9123340265557511,0.9541576041492388,0.9467917323815058,0.9616389849085237,0.9541576041492388
set_12_42_obj3.png,0.007719858584852645,0.008281820186514344,0.0005619616016616993,0.0005619616016616993,0.7761547572048954,0.8739719937763948,0.8443203779257032,0.9057820778622437,0.8739719937763948
set_12_43_obj3.png,0.017323202938727085,0.02419278171357298,0.0068695787748458935,0.0068695787748458935,0.4953431036844268,0.662514311884589,0.5684533165671173,0.7938755350675009,0.662514311884589
set_12_46_obj3.png,0.03647405226352595,0.0375370759271688,0.0010630236636428522,0.0010630236636428522,0.5816869476703835,0.7355272780459265,0.7251124697196909,0.7462456223659999,0.7355272780459265
set_12_47_obj0.png,0.0063610224900547485,0.042766552443971796,0.03640552995391705,0.03640552995391705,0.13768413371642269,0.24204281247494588,0.13902191932215877,0.9346749226006192,0.24204281247494588
set_12_48_obj0.png,0.027697693997823365,0.028308589498757676,0.0006108955009343116,0.0006108955009343116,0.9005295798202216,0.9476617353205375,0.9374365298128536,0.9581124661748898,0.9476617353205375
set_12_48_obj2.png,0.06888209556612092,0.08475704715682962,0.015874951590708702,0.015874951590708702,0.649516091933686,0.7875231955721932,0.7137718496626548,0.878271687640557,0.7875231955721932
set_12_4_obj1.png,0.0034808331928329475,0.00526493263645142,0.0017840994436184726,0.0017840994436184726,0.5701706108970831,0.7262530669470733,0.6032023289665212,0.912373403786878,0.7262530669470733
set_12_4_obj2.png,0.0044539321104786,0.004458723861000901,4.791750522301075e-06,4.791750522301075e-06,0.852589641434263,0.9204301075268817,0.9199355185384201,0.9209252286175363,0.9204301075268817
set_12_4_obj3.png,0.007685687771850423,0.006143365942423441,0.001542321829426982,-0.001542321829426982,0.5742106816169962,0.7295220243673852,0.8210970464135021,0.6563237774030354,0.7295220243673852
set_12_51_obj0.png,0.08329610651250383,0.08072964568825822,0.002566460824245609,-0.002566460824245609,0.8401519866356579,0.9131332550108583,0.9276478779001429,0.8990658464342675,0.9131332550108583
set_12_53_obj3.png,0.0015784063498367569,0.0020879935987664776,0.0005095872489297207,0.0005095872489297207,0.7522679692951849,0.8586220629231381,0.7538461538461538,0.9972247918593895,0.8586220629231381
set_12_54_obj0.png,0.02564497081351014,0.02997739312346054,0.004332422309950398,0.004332422309950398,0.8318072717574896,0.9081820828884791,0.842555490522714,0.984895531814115,0.9081820828884791
set_12_57_obj2.png,0.04820273099248264,0.058839447140546196,0.010636716148063559,0.010636716148063559,0.7724654094243931,0.8716281912381587,0.7928437863243544,0.9677976557680444,0.8716281912381587
set_12_57_obj3.png,0.03294685248461115,0.02668253541674665,0.006264317067864497,-0.006264317067864497,0.7924600884785535,0.8842150445326752,0.988009592326139,0.8001553699747523,0.8842150445326752
set_12_5_obj2.png,0.0,0.0012293970530629463,0.0012293970530629463,0.0012293970530629463,0.0,0.0,0.0,0.0,0.0
set_12_66_obj1.png,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
set_12_66_obj2.png,0.0,0.0005565797588822942,0.0005565797588822942,0.0005565797588822942,0.0,0.0,0.0,0.0,0.0
set_12_68_obj1.png,0.0017230805395118114,0.0020289706571514246,0.0003058901176396132,0.0003058901176396132,0.8485523385300668,0.9180722891566265,0.8488674340883773,0.9995627459554001,0.9180722891566265
set_12_74_obj0.png,0.04803123904396919,0.04975599534154607,0.0017247562975768807,0.0017247562975768807,0.9165942658557776,0.956482320942883,0.9399044302259658,0.9736555080124172,0.956482320942883
set_12_74_obj1.png,0.011842662608641084,0.011734805936431239,0.000107856672209845,-0.000107856672209845,0.9385682038052241,0.9683107377526408,0.9727606951871658,0.9639013081636032,0.9683107377526408
set_12_74_obj2.png,0.007237850849116733,0.006448392809986713,0.0007894580391300202,-0.0007894580391300202,0.6584017423353996,0.7940195979391858,0.8426243567753001,0.7507163323782235,0.7940195979391858
set_12_77_obj3.png,0.022271887355348866,0.025900424275582992,0.0036285369202341267,0.0036285369202341267,0.805484354596895,0.8922640094289082,0.8297628537265843,0.9649478563151797,0.8922640094289082
